1,1,1,1
4,4,4,4
15,15,15,15
50,50,50,50
99,99,99,99
5,5,4,5
19,18,16,19
59,58,56,61
94,96,95,94
22,18,19,21
66,61,63,67
84,91,90,87
48,38,39,45
89,92,91,95
36,31,32,24
86,85,87,77
45,48,45,62
90,97,96,92
34,19,20,30
85,69,70,83
49,73,72,54
91,82,83,95
32,50,48,24
83,93,94,75
53,33,33,68
90,89,88,87
36,38,40,43
86,91,92,93
45,35,34,32
91,91,89,87
32,31,36,40
82,85,88,91
55,52,46,41
89,95,95,93
37,24,23,30
86,77,76,85
45,62,65,49
91,92,91,97
31,29,32,18
81,81,85,65
57,59,52,80
88,93,96,71
39,30,23,67
87,85,75,87
42,47,64,45
91,96,91,96
32,21,31,21
81,71,83,71
57,74,56,74
88,80,94,80
39,56,28,56
89,95,83,95
37,25,51,24
87,77,95,76
44,61,25,63
90,92,80,90
34,32,54,35
84,85,93,87
50,51,34,47
90,97,88,95
34,20,38,23
85,70,91,74
47,71,37,67
90,84,90,88
35,47,34,40
87,94,88,92
43,28,41,32
89,83,93,87
37,50,29,43
88,96,84,93
41,23,49,30
88,76,96,84
41,63,24,49
89,91,78,96
36,34,57,22
85,87,93,73
48,45,33,68
90,96,88,87
35,22,40,41
87,74,91,93
43,65,34,31
89,90,89,87
37,36,38,42
88,91,92,93
40,36,33,30
87,89,86,83
42,39,45,52
90,91,94,96
35,32,26,22
85,86,79,74
48,48,60,68
90,96,93,88
35,22,29,40
87,73,82,92
43,66,53,34
89,89,96,89
37,39,21,38
88,92,73,92
39,32,65,33
87,87,90,88
43,44,39,43
90,95,93,96
34,22,28,22
84,73,81,73
51,69,58,70
90,86,94,86
34,43,25,43
85,93,77,93
48,32,63,33
91,89,92,88
33,38,30,38
85,90,84,91
49,40,52,37
91,94,96,91
31,24,21,32
81,76,70,84
57,67,75,54
89,88,79,94
37,41,57,26
85,92,92,79
47,34,35,60
92,90,90,94
29,33,34,24
78,84,86,74
64,58,52,73
83,93,94,80
50,34,31,58
87,89,86,93
42,41,45,32
91,94,96,88
30,24,19,37
79,75,67,89
62,70,80,47
84,83,70,93
50,54,72,34
90,95,82,89
35,23,51,38
86,76,95,91
44,64,26,37
91,91,81,91
33,32,51,32
83,84,93,84
52,52,34,52
90,95,89,95
35,23,38,23
86,75,90,75
46,64,38,64
90,91,93,91
35,33,29,33
86,87,83,88
44,44,52,43
89,96,97,94
36,22,21,27
87,74,71,81
42,65,69,55
88,90,86,94
40,37,46,27
90,91,95,81
35,32,23,52
84,86,75,94
51,49,66,31
89,96,89,86
37,21,38,44
90,74,91,95
36,63,33,25
84,89,86,77
50,42,47,63
92,95,97,92
30,23,18,28
80,73,64,81
61,73,82,62
86,81,67,90
43,56,73,37
87,93,82,90
44,31,54,38
93,88,97,93
24,37,16,24
69,84,58,72
80,61,91,79
55,81,41,62
85,69,92,91
44,72,34,36
84,81,87,89
51,57,47,42
94,96,96,96
20,16,16,16
61,57,55,56
89,94,94,94
36,27,26,25
80,78,76,76
62,66,69,69
87,87,85,86
42,43,47,47
91,95,96,96
32,22,19,21
80,72,68,71
59,73,77,75
85,81,75,78
47,57,65,62
92,95,91,93
30,23,32,27
80,74,85,79
60,71,54,64
88,84,95,89
40,49,24,38
87,95,76,90
44,26,62,38
92,81,92,92
28,49,29,30
76,91,80,80
67,43,63,64
78,90,87,87
62,43,50,50
82,93,93,94
54,35,36,33
86,89,90,87
45,41,39,43
90,94,93,96
36,27,28,22
88,81,83,74
41,54,50,65
89,96,96,90
37,23,22,36
