1,1,1,1
4,4,4,4
15,15,15,15
50,50,50,50
99,99,99,99
5,5,5,5
18,18,19,19
59,59,59,60
95,95,96,96
17,18,16,17
56,57,54,55
97,96,98,98
10,12,9,9
35,37,34,35
90,91,90,91
35,33,36,34
90,89,91,90
36,37,35,35
91,91,91,91
32,32,32,32
86,86,86,86
47,48,48,48
98,99,98,99
6,6,6,6
22,21,22,21
67,67,67,67
87,87,87,87
44,45,44,45
97,98,99,98
10,9,8,9
34,34,32,33
89,89,88,90
38,38,39,38
93,94,93,94
25,24,25,24
73,73,74,73
77,77,76,77
70,70,70,70
83,83,83,84
55,56,55,54
98,97,97,98
9,10,10,8
32,33,34,31
86,87,88,85
47,47,46,48
98,99,99,99
6,5,5,5
22,21,21,21
68,68,67,68
86,86,86,87
48,47,48,48
99,98,99,99
5,6,5,5
20,21,19,20
63,64,63,63
92,91,91,92
30,30,31,30
82,83,83,82
57,56,56,58
97,96,96,96
13,14,13,14
44,45,44,46
97,98,97,98
11,10,12,10
38,38,39,37
93,93,94,93
24,25,23,24
73,73,71,74
78,78,80,77
67,67,66,68
88,88,87,87
43,43,44,44
97,96,96,97
12,13,13,13
42,44,43,42
96,97,96,97
15,14,15,14
51,50,51,50
99,99,99,98
5,4,5,5
19,18,18,20
61,60,61,62
94,93,94,93
24,25,23,25
72,73,72,73
80,80,80,80
64,63,65,65
91,92,91,91
32,32,33,33
87,86,87,87
46,47,45,45
98,98,97,98
7,8,9,7
27,27,28,26
77,78,78,78
69,68,69,69
84,86,85,84
53,51,52,53
98,98,98,99
6,7,6,6
23,23,23,22
69,70,70,68
84,84,84,85
54,54,53,53
98,99,99,98
7,6,6,7
25,23,23,26
74,72,73,75
76,77,77,76
72,72,71,73
79,80,80,78
64,63,64,66
91,91,91,91
34,34,33,33
88,89,88,89
41,40,41,40
95,95,96,96
18,18,17,17
57,58,57,57
97,96,97,96
13,14,13,14
45,46,45,46
98,98,98,99
8,7,8,7
30,29,30,29
84,83,84,83
54,54,54,55
98,98,97,98
8,7,9,8
28,27,29,29
79,79,80,80
66,66,65,65
89,88,90,88
40,41,39,40
95,95,94,95
20,20,20,20
63,63,64,62
92,92,92,92
29,29,29,29
82,82,81,82
59,59,60,59
95,95,95,96
18,17,18,17
57,57,58,57
97,98,97,96
12,11,13,14
43,42,43,45
97,97,97,97
12,12,12,12
42,42,42,43
96,96,97,97
14,14,13,13
47,46,46,46
98,99,99,99
7,6,6,5
25,24,24,23
74,73,74,72
77,77,77,78
70,71,70,69
82,82,83,83
58,58,58,57
96,96,96,97
14,15,15,13
48,49,49,47
99,98,100,99
6,7,4,5
21,22,19,20
66,67,64,64
89,88,89,90
39,40,39,39
94,95,94,94
21,21,22,21
66,66,67,67
89,88,88,88
40,41,40,40
95,95,96,95
19,20,18,20
62,63,61,62
93,94,93,94
25,24,25,24
74,73,74,74
77,77,77,76
71,70,70,71
82,83,81,81
58,57,59,59
96,97,97,95
16,14,14,16
52,50,50,53
99,99,98,98
6,5,6,6
21,19,22,21
65,63,66,65
90,91,90,91
34,33,35,34
89,89,89,89
38,38,38,38
93,94,94,94
26,25,25,24
76,75,74,75
73,74,73,73
78,77,78,77
68,68,68,68
86,86,86,87
47,48,47,46
98,98,98,98
6,7,7,6
23,24,24,23
71,71,71,70
82,81,82,82
60,60,59,59
95,95,95,95
18,18,19,19
59,59,59,60
96,95,96,96
17,17,17,16
55,55,55,54
98,98,97,98
8,8,9,8
30,30,31,30
82,82,83,82
58,58,56,58
96,96,96,97
14,15,14,13
